sampleid,generation,condition,parentplant,parentcondition,plantinggroup,growthchamber,shelf,combocondition,sampletype,fresh.root.weight_g,dry.root.weight_g,fresh.shoot.weight_g,dry.shoot.weight_g,fresh.pods.weight_g,dry.empty.pods.weight_g,pod_number,seed_number,dry.seed.weight_g,dry.pod.total_g,30dry.seed.weight_g,total.upper.drymass_g,date_of_licor,photosynthetic_rate,stomatal_conductance
ROOT_G2_30,2,Control,N8,Nutrient,1,1,bottom,Control_Nutrient,LiCOR_Health,NA,3.3,NA,12.1,NA,NA,14,46,NA,15.6,NA,NA,3_31_2021,12.8578254,0.553010605
ROOT_G2_31,2,Drought,N2,Nutrient,1,1,bottom,Drought_Nutrient,LiCOR_Health,NA,3,NA,8.9,NA,NA,7,31,NA,20.4,NA,NA,3_31_2021,12.7584047,0.097378419
ROOT_G2_34,2,Drought,N15,Nutrient,1,1,bottom,Drought_Nutrient,LiCOR_Health,NA,5.7,NA,9.8,NA,NA,8,27,NA,19.6,NA,NA,3_31_2021,12.0457085,0.099351652
ROOT_G2_36,2,Drought,N8,Nutrient,1,1,bottom,Drought_Nutrient,LiCOR_Health,NA,5,NA,12.8,NA,NA,11,43,NA,17.3,NA,NA,3_31_2021,13.5444305,0.142517903
ROOT_G2_37,2,Drought,C10,Control,1,1,bottom,Drought_Control,LiCOR_Health,NA,6.7,NA,7.7,NA,NA,8,31,NA,21.6,NA,NA,3_31_2021,11.8878356,0.093151361
ROOT_G2_39,2,Nutrient,N15,Nutrient,1,1,bottom,Nutrient_Nutrient,LiCOR_Health,NA,7.9,NA,16.2,NA,NA,14,40,NA,25.1,NA,NA,3_31_2021,12.5441869,0.092824248
ROOT_G2_41,2,Control,C11,Control,1,1,bottom,Control_Control,LiCOR_Health,NA,7.1,NA,11.1,NA,NA,11,25,NA,18.3,NA,NA,3_31_2021,13.1577272,0.166324991
ROOT_G2_43,2,Nutrient,C2,Control,1,1,bottom,Nutrient_Control,LiCOR_Health,NA,7,NA,11.4,NA,NA,9,34,NA,21.4,NA,NA,3_31_2021,10.027587,0.084920048
ROOT_G2_44,2,Nutrient,C6,Control,1,1,bottom,Nutrient_Control,LiCOR_Health,NA,5.4,NA,11.8,NA,NA,11,35,NA,24.7,NA,NA,3_31_2021,10.6769028,0.092515285
ROOT_G2_48,2,Drought,C6,Control,1,2,top,Drought_Control,LiCOR_Health,NA,9.3,NA,6.2,NA,NA,18,37,NA,6.9,NA,NA,3_31_2021,10.7543159,0.065253201
ROOT_G2_49,2,Control,D7,Drought,1,2,top,Control_Drought,LiCOR_Health,NA,9.8,NA,7.3,NA,NA,13,26,NA,15.5,NA,NA,3_31_2021,14.4237056,0.18076502
ROOT_G2_51,2,Nutrient,N11,Nutrient,1,2,top,Nutrient_Nutrient,LiCOR_Health,NA,9.5,NA,17.8,NA,NA,18,30,NA,12.8,NA,NA,3_31_2021,10.4170089,0.04931527
ROOT_G2_52,2,Drought,D14,Drought,1,2,top,Drought_Drought,LiCOR_Health,NA,4.5,NA,6.4,NA,NA,13,32,NA,10.7,NA,NA,3_31_2021,7.87579394,0.054974358
ROOT_G2_55,2,Nutrient,D14,Drought,1,2,top,Nutrient_Drought,LiCOR_Health,NA,4.3,NA,9.6,NA,NA,18,42,NA,14.3,NA,NA,3_31_2021,13.5938433,0.087621754
ROOT_G2_56,2,Control,C6,Control,1,2,top,Control_Control,LiCOR_Health,NA,5.1,NA,11.2,NA,NA,11,26,NA,12.1,NA,NA,3_31_2021,14.0654639,0.155124631
ROOT_G2_58,2,Nutrient,D7,Drought,1,2,top,Nutrient_Drought,LiCOR_Health,NA,7,NA,13.1,NA,NA,24,51,NA,11.6,NA,NA,3_31_2021,12.7832677,0.077390516
ROOT_G2_59,2,Drought,C11,Control,1,2,top,Drought_Control,LiCOR_Health,NA,3.2,NA,5.8,NA,NA,14,42,NA,14.2,NA,NA,3_31_2021,9.58944672,0.071442252
